Team,Wins,Losses,Goals,Total Yellow Cards,Total Red Cards,Total Scoring Attacks,Scoring On Target Attacks,No. Times Woodwork Hit,Headed Goals,Penalty Goals,Freekick Goals,In The Box Goals,Outside Box Goals,Goals from Counter Attacks,Total Offsides,Clean Sheets,Goals Conceded,Outfielder Blocks,Interceptions,Total Tackles,Last Man Tackles,Total Clearances,Own Goals,Penalties Conceded,Penalty Goals Conceded,Total Passes,Total Long Balls,Total Crosses,Corners Taken,Touches,Clearances Off The Line,Penalty Saves,Total High Claims By Goalkeeper,Total Punches By Goalkeepers,Season
Manchester United,28.0,4.0,68.0,61.0,5.0,715.0,230.0,9.0,7.0,4.0,4.0,56.0,12.0,12.0,99.0,24.0,24.0,120.0,640.0,741.0,8.0,1322.0,1.0,3.0,3.0,19416.0,2192.0,1039.0,257.0,30077.0,3.0,0.0,56.0,22.0,2008-2009
Chelsea,25.0,5.0,68.0,50.0,3.0,797.0,248.0,17.0,12.0,2.0,2.0,59.0,9.0,4.0,114.0,22.0,24.0,124.0,504.0,773.0,15.0,1069.0,1.0,1.0,0.0,19923.0,2121.0,938.0,237.0,29962.0,3.0,1.0,111.0,35.0,2008-2009
Liverpool,25.0,2.0,77.0,50.0,0.0,736.0,224.0,26.0,14.0,5.0,2.0,65.0,12.0,4.0,98.0,20.0,27.0,66.0,657.0,927.0,5.0,1279.0,3.0,2.0,2.0,19505.0,2714.0,1021.0,269.0,29875.0,0.0,0.0,61.0,19.0,2008-2009
Arsenal,20.0,6.0,68.0,58.0,3.0,662.0,220.0,22.0,14.0,5.0,0.0,62.0,6.0,7.0,88.0,16.0,37.0,87.0,872.0,875.0,6.0,1280.0,3.0,5.0,3.0,18991.0,2044.0,1069.0,267.0,29877.0,9.0,2.0,65.0,26.0,2008-2009
Aston Villa,17.0,10.0,54.0,54.0,2.0,472.0,159.0,15.0,10.0,4.0,2.0,44.0,10.0,10.0,85.0,13.0,48.0,146.0,710.0,982.0,11.0,1764.0,0.0,6.0,6.0,12419.0,2208.0,1119.0,257.0,23020.0,4.0,0.0,32.0,26.0,2008-2009
Everton,17.0,9.0,55.0,49.0,1.0,496.0,169.0,12.0,14.0,4.0,4.0,47.0,8.0,0.0,99.0,17.0,37.0,146.0,660.0,775.0,12.0,1602.0,2.0,3.0,3.0,15024.0,2299.0,1022.0,191.0,25205.0,4.0,0.0,74.0,25.0,2008-2009
Manchester City,15.0,18.0,58.0,49.0,4.0,572.0,201.0,11.0,3.0,6.0,2.0,52.0,6.0,8.0,79.0,10.0,50.0,124.0,740.0,939.0,18.0,1496.0,2.0,4.0,3.0,15971.0,2229.0,690.0,210.0,26120.0,7.0,1.0,54.0,34.0,2008-2009
Fulham,14.0,13.0,39.0,40.0,1.0,511.0,149.0,11.0,2.0,5.0,0.0,33.0,6.0,5.0,92.0,15.0,34.0,153.0,667.0,812.0,10.0,1632.0,0.0,2.0,1.0,16100.0,2297.0,765.0,188.0,26306.0,8.0,1.0,70.0,44.0,2008-2009
Tottenham Hotspur,14.0,15.0,45.0,54.0,5.0,544.0,177.0,7.0,5.0,3.0,0.0,39.0,6.0,7.0,85.0,13.0,45.0,122.0,743.0,781.0,7.0,1511.0,2.0,4.0,3.0,15723.0,2099.0,1005.0,221.0,26576.0,6.0,0.0,69.0,56.0,2008-2009
West Ham United,14.0,15.0,42.0,66.0,4.0,515.0,167.0,12.0,4.0,1.0,1.0,37.0,5.0,4.0,130.0,10.0,45.0,190.0,606.0,896.0,13.0,1601.0,2.0,6.0,3.0,15316.0,1901.0,720.0,189.0,25662.0,7.0,2.0,65.0,37.0,2008-2009
