Team,Wins,Losses,Goals,Total Yellow Cards,Total Red Cards,Total Scoring Attacks,Scoring On Target Attacks,No. Times Woodwork Hit,Headed Goals,Penalty Goals,Freekick Goals,In The Box Goals,Outside Box Goals,Goals from Counter Attacks,Total Offsides,Clean Sheets,Goals Conceded,Outfielder Blocks,Interceptions,Total Tackles,Last Man Tackles,Total Clearances,Own Goals,Penalties Conceded,Penalty Goals Conceded,Total Passes,Total Long Balls,Total Crosses,Corners Taken,Touches,Clearances Off The Line,Penalty Saves,Total High Claims By Goalkeeper,Total Punches By Goalkeepers,Season
Manchester United,28.0,5.0,86.0,57.0,1.0,561.0,213.0,24.0,14.0,4.0,1.0,77.0,9.0,2.0,96.0,13.0,43.0,143.0,514.0,731.0,4.0,1319.0,4.0,0.0,0.0,19696.0,1973.0,962.0,218.0,27264.0,5.0,0.0,38.0,28.0,2012-2013
Manchester City,23.0,6.0,66.0,62.0,3.0,660.0,231.0,16.0,6.0,4.0,2.0,57.0,9.0,6.0,75.0,18.0,34.0,111.0,492.0,683.0,3.0,1068.0,2.0,2.0,1.0,20061.0,1613.0,860.0,269.0,27525.0,6.0,1.0,28.0,23.0,2012-2013
Chelsea,22.0,7.0,75.0,51.0,3.0,626.0,212.0,7.0,16.0,9.0,3.0,64.0,11.0,3.0,80.0,14.0,39.0,104.0,504.0,710.0,4.0,981.0,2.0,1.0,0.0,18425.0,2008.0,863.0,240.0,25959.0,1.0,0.0,53.0,29.0,2012-2013
Arsenal,21.0,7.0,72.0,42.0,5.0,597.0,205.0,16.0,11.0,5.0,2.0,65.0,7.0,7.0,80.0,14.0,37.0,94.0,636.0,748.0,19.0,873.0,0.0,6.0,4.0,21110.0,1755.0,951.0,260.0,28862.0,5.0,1.0,31.0,20.0,2012-2013
Tottenham Hotspur,21.0,8.0,66.0,55.0,2.0,681.0,241.0,17.0,6.0,0.0,2.0,50.0,16.0,6.0,77.0,9.0,46.0,90.0,721.0,745.0,8.0,1595.0,1.0,3.0,3.0,16647.0,2028.0,884.0,262.0,25155.0,6.0,0.0,44.0,30.0,2012-2013
Everton,16.0,7.0,55.0,59.0,3.0,633.0,207.0,21.0,13.0,2.0,1.0,44.0,11.0,4.0,100.0,11.0,40.0,126.0,592.0,720.0,7.0,1172.0,2.0,2.0,2.0,15829.0,2055.0,989.0,257.0,23854.0,8.0,0.0,61.0,28.0,2012-2013
Liverpool,16.0,9.0,71.0,54.0,2.0,739.0,232.0,19.0,9.0,5.0,3.0,59.0,12.0,1.0,110.0,16.0,43.0,107.0,526.0,795.0,2.0,914.0,1.0,5.0,4.0,19802.0,2040.0,794.0,284.0,27722.0,3.0,1.0,38.0,23.0,2012-2013
West Bromwich Albion,14.0,17.0,53.0,63.0,4.0,506.0,170.0,15.0,13.0,5.0,0.0,46.0,7.0,5.0,100.0,8.0,57.0,158.0,377.0,698.0,1.0,1079.0,3.0,6.0,5.0,14367.0,1896.0,778.0,202.0,21491.0,3.0,1.0,77.0,15.0,2012-2013
West Ham United,12.0,16.0,45.0,74.0,1.0,492.0,158.0,9.0,9.0,4.0,2.0,38.0,7.0,2.0,82.0,11.0,53.0,166.0,459.0,728.0,4.0,1520.0,1.0,2.0,2.0,12582.0,1910.0,1014.0,212.0,20669.0,4.0,0.0,36.0,6.0,2012-2013
Fulham,11.0,17.0,50.0,48.0,3.0,460.0,160.0,19.0,10.0,6.0,1.0,43.0,7.0,2.0,74.0,8.0,60.0,161.0,745.0,680.0,3.0,1274.0,0.0,6.0,3.0,16940.0,2131.0,733.0,176.0,24744.0,7.0,3.0,67.0,24.0,2012-2013
Newcastle United,11.0,19.0,45.0,71.0,4.0,533.0,174.0,12.0,6.0,4.0,3.0,34.0,11.0,2.0,84.0,6.0,68.0,115.0,478.0,732.0,9.0,1584.0,1.0,4.0,4.0,14599.0,2285.0,941.0,203.0,23005.0,5.0,0.0,74.0,38.0,2012-2013
