Team,Wins,Losses,Goals,Total Yellow Cards,Total Red Cards,Total Scoring Attacks,Scoring On Target Attacks,No. Times Woodwork Hit,Headed Goals,Penalty Goals,Freekick Goals,In The Box Goals,Outside Box Goals,Goals from Counter Attacks,Total Offsides,Clean Sheets,Goals Conceded,Outfielder Blocks,Interceptions,Total Tackles,Last Man Tackles,Total Clearances,Own Goals,Penalties Conceded,Penalty Goals Conceded,Total Passes,Total Long Balls,Total Crosses,Corners Taken,Touches,Clearances Off The Line,Penalty Saves,Total High Claims By Goalkeeper,Total Punches By Goalkeepers,Season
Manchester United,23.0,4.0,78.0,56.0,3.0,618.0,212.0,15.0,18.0,3.0,1.0,71.0,7.0,5.0,102.0,15.0,37.0,107.0,646.0,693.0,17.0,1053.0,1.0,6.0,5.0,18870.0,2279.0,1005.0,243.0,26671.0,2.0,0.0,45.0,16.0,2010-2011
Chelsea,21.0,9.0,69.0,59.0,1.0,745.0,244.0,21.0,12.0,6.0,2.0,61.0,8.0,4.0,113.0,15.0,33.0,127.0,616.0,769.0,19.0,762.0,1.0,3.0,2.0,19236.0,2044.0,995.0,257.0,27426.0,7.0,1.0,84.0,22.0,2010-2011
Manchester City,21.0,9.0,60.0,71.0,5.0,546.0,177.0,16.0,4.0,8.0,2.0,51.0,9.0,2.0,103.0,18.0,33.0,130.0,629.0,826.0,4.0,1206.0,0.0,4.0,3.0,17768.0,1721.0,762.0,222.0,25892.0,2.0,1.0,66.0,27.0,2010-2011
Arsenal,19.0,8.0,72.0,65.0,6.0,654.0,238.0,23.0,9.0,4.0,1.0,67.0,5.0,3.0,93.0,13.0,43.0,94.0,709.0,772.0,3.0,1077.0,1.0,9.0,6.0,20150.0,1462.0,928.0,252.0,28629.0,4.0,2.0,56.0,25.0,2010-2011
Liverpool,17.0,14.0,59.0,63.0,2.0,582.0,205.0,12.0,8.0,6.0,1.0,54.0,5.0,3.0,87.0,14.0,44.0,128.0,592.0,908.0,2.0,1073.0,3.0,8.0,7.0,16728.0,2038.0,824.0,212.0,24941.0,6.0,0.0,74.0,26.0,2010-2011
Tottenham Hotspur,16.0,8.0,55.0,51.0,2.0,657.0,191.0,15.0,10.0,5.0,0.0,40.0,15.0,3.0,59.0,8.0,46.0,139.0,661.0,754.0,16.0,1363.0,1.0,6.0,4.0,16791.0,2407.0,954.0,256.0,25438.0,6.0,2.0,68.0,50.0,2010-2011
Everton,13.0,10.0,51.0,55.0,5.0,580.0,181.0,8.0,14.0,3.0,2.0,43.0,8.0,4.0,78.0,9.0,45.0,149.0,470.0,768.0,12.0,1265.0,2.0,2.0,2.0,14371.0,2232.0,1019.0,245.0,22628.0,2.0,0.0,51.0,30.0,2010-2011
Stoke City,13.0,18.0,46.0,68.0,2.0,482.0,143.0,20.0,11.0,3.0,2.0,42.0,4.0,4.0,74.0,9.0,48.0,156.0,532.0,716.0,13.0,1316.0,2.0,5.0,3.0,10349.0,2062.0,766.0,191.0,18195.0,5.0,2.0,64.0,20.0,2010-2011
Aston Villa,12.0,14.0,48.0,71.0,2.0,506.0,165.0,19.0,13.0,4.0,2.0,42.0,6.0,4.0,92.0,7.0,59.0,183.0,667.0,844.0,16.0,1116.0,1.0,4.0,4.0,14611.0,1970.0,973.0,230.0,22681.0,7.0,0.0,30.0,25.0,2010-2011
Bolton Wanderers,12.0,16.0,52.0,67.0,5.0,570.0,173.0,9.0,10.0,4.0,1.0,44.0,8.0,3.0,57.0,5.0,56.0,150.0,627.0,939.0,17.0,1466.0,0.0,6.0,3.0,12704.0,2360.0,850.0,197.0,21351.0,10.0,2.0,46.0,22.0,2010-2011
Sunderland,12.0,15.0,45.0,57.0,5.0,532.0,154.0,10.0,7.0,4.0,1.0,40.0,5.0,2.0,98.0,13.0,56.0,134.0,694.0,820.0,17.0,1291.0,1.0,6.0,5.0,14166.0,2220.0,863.0,181.0,22628.0,16.0,0.0,62.0,40.0,2010-2011
West Bromwich Albion,12.0,15.0,56.0,52.0,7.0,597.0,184.0,12.0,10.0,4.0,1.0,50.0,6.0,3.0,102.0,2.0,71.0,126.0,662.0,725.0,10.0,1088.0,5.0,6.0,6.0,14252.0,2286.0,807.0,187.0,22224.0,8.0,0.0,38.0,23.0,2010-2011
Blackburn Rovers,11.0,17.0,46.0,65.0,5.0,453.0,135.0,10.0,9.0,1.0,2.0,39.0,7.0,1.0,87.0,8.0,59.0,183.0,734.0,748.0,11.0,1521.0,1.0,8.0,6.0,11178.0,2057.0,821.0,173.0,19421.0,8.0,0.0,50.0,26.0,2010-2011
Fulham,11.0,11.0,49.0,52.0,1.0,547.0,172.0,10.0,15.0,2.0,2.0,42.0,7.0,2.0,100.0,14.0,43.0,120.0,668.0,799.0,5.0,1513.0,5.0,1.0,0.0,16345.0,2059.0,865.0,191.0,24796.0,12.0,1.0,82.0,37.0,2010-2011
Newcastle United,11.0,14.0,56.0,78.0,2.0,507.0,168.0,10.0,15.0,5.0,0.0,50.0,6.0,1.0,82.0,9.0,57.0,134.0,608.0,666.0,11.0,1025.0,2.0,6.0,5.0,14194.0,2104.0,1022.0,202.0,22108.0,7.0,0.0,56.0,26.0,2010-2011
Wolverhampton Wanderers,11.0,20.0,46.0,62.0,2.0,459.0,139.0,14.0,10.0,3.0,1.0,41.0,5.0,1.0,93.0,5.0,66.0,151.0,520.0,677.0,11.0,1205.0,2.0,4.0,4.0,14823.0,2350.0,1104.0,241.0,22772.0,7.0,0.0,84.0,19.0,2010-2011
Blackpool,10.0,19.0,55.0,47.0,2.0,531.0,161.0,11.0,8.0,7.0,3.0,44.0,11.0,3.0,97.0,6.0,78.0,206.0,451.0,780.0,7.0,1616.0,5.0,3.0,2.0,15113.0,2582.0,836.0,183.0,23616.0,16.0,0.0,49.0,29.0,2010-2011
Wigan Athletic,9.0,14.0,40.0,67.0,4.0,511.0,170.0,9.0,3.0,2.0,5.0,32.0,8.0,5.0,71.0,7.0,61.0,116.0,763.0,914.0,20.0,1196.0,0.0,6.0,4.0,15180.0,2217.0,620.0,169.0,23517.0,5.0,1.0,50.0,25.0,2010-2011
